PLACE_NM,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
삼락상설카약체험장,부산광역시 사상구 삼락동 29-21 삼락수상레포츠타운(삼락오토캠핑장 옆),"부산김해 경전철 궤법르네시떼역 1번 출구 도보 16분, 버스 8, 15, 31, 33, 59, 61, 62, 77, 110, 123, 126, 138-1, 160, 161, 169, 338 삼락생태공원 하차, 주차 삼락생태공원 주차장",부산 사상구 삼락동 463,낙동대로,Y,35.17458,128.97662
사상인디스테이션,부산광역시 사상구 사상로 190,"도시철도 2호선 사상역 2번출구에서 도보 5분, 버스 62, 31 사상우체국 하차 후 도보 5분",부산 사상구 괘법동 572-1,사상로,Y,35.16188,128.98575
사상근린공원,부산광역시 사상구 백양대로 570 일원,"도시철도 2호선 감전역 2번 출구 도보 10분, 버스 129-1, 133, 169-1 사상근린공원 하차 도보 3분, 주차 사상근린공원 주차장",부산 사상구 감전동 307-4,백양대로,Y,35.15819,128.99294
백양산 웰빙숲,부산광역시 사상구 모라동 1243-4,"도시철도 2호선 모라역 3번 출구 택시 이용, 주차 운수천공영주차장",부산 사상구 모라동 75-7,모라로,Y,35.18551,129.0006
사상생활사박물관,부산광역시 사상구 낙동대로1258번길 36,"도시철도 2호선 덕포역 1번 출구 도보 8분, 버스 123, 126 삼락생태공원 하차 도보 6분, 주차 사상생활사박물관 주차장",부산 사상구 삼락동 438,낙동대로,Y,35.17167,128.97686
삼락생태공원,부산광역시 사상구 낙동대로 1231,"부산김해 경전철 괘법르네시떼 1번 출구 도보 16분, 버스 8, 15, 31, 33, 59, 61, 62, 77, 110, 123, 126, 138-1, 160, 161, 169, 338 삼락생태공원 하차, 주차장 공원 및 인근 주차장 이용",부산 사상구 삼락동 438,낙동대로,Y,35.17171,128.9768
화명장미공원,부산광역시 북구 화명동 2280,"버스 300 장미공원 하차 후 도보 2분, 도시철도 2호선 화명역 2번 출구에서 도보 11분",부산 북구 화명동 2257,화명신도시로,Y,35.23188,129.01012
화명생태공원,부산광역시 북구 화명동 1718-10,도시철도 2호선 화명역 1번 출구 도보 10분 / 주차 화명생태공원 주차장,부산 북구 화명동 2257,금곡대로,Y,35.23187,129.00784
부산어촌민속관,부산광역시 북구 학사로 128,"도시철도 2호선 화명역 1번 출구 도보 12분, 버스 111, 121, 126, 15, 59, 금정구1, 북구3 와석 하차 도보 11분, 주차 부산어촌민속관 주차장",부산광역시 북구 학사로 128,학사로,Y,35.23369,129.0088
만덕레고마을,부산광역시 북구 은행나무로23번길 40,도시철도 3호선 만덕역 1번 출구 도보 10분,부산 북구 만덕동 900,덕천로,Y,35.20884,129.03935
백양중학교,부산광역시 북구 상리로 70,도시철도 3호선 만덕역 3번 출구 도보 15분,부산 북구 만덕동 899,덕천로,Y,35.20884,129.03935
솔로몬로파크,부산광역시 북구 낙동북로 755,"도시철도 2호선 구명역 2번 출구 도보 15분, 버스 169-1 부산솔로몬로파크 하차, 주차 부산솔로몬로파크 주차장",부산 해운대구 우동 1524,낙동북로,N,35.20053,128.99943
구포어린이교통공원,부산광역시 북구 낙동북로 687,"도시철도 2호선 구명역 2번 출구 도보 5분, 버스 124, 128-1, 169, 169-1 구남시장 하차 도보 7분, 주차 구포어린이교통공원 주차장",부산 북구 구포동 972-51,낙동북로,Y,35.20078,128.99888
구포시장,부산광역시 북구 구포시장1길 1,"도시철도 2,3호선 덕천역 3번 출구 도보 3분, 버스 110, 124, 126, 133, 148, 148-1, 160, 200, 307, 33 구포시장 하차",부산 북구 구포동 1141-6,낙동대로,Y,35.2096,129.00329
화명생태공원오토캠핑장,부산광역시 북구 강변대로1629,도시철도 2호선 덕천역 5번 출구 도보 30분,부산 북구 화명동 2257,학사로,Y,35.22705,129.00675
삼광사,부산광역시 부산진구 초읍천로43번길 77,"도시철도 2호선 서면역 9번 출구 영광도서 맞은편 정류장 → 마을버스 부산진구15 환승 → 삼광사 경내 정류장 하차, 버스 44, 54, 63, 81, 133 삼광사 입구 하차 도보 이동, 주차 삼광사 주차장(무료)",부산 부산진구 초읍동 645-10,초읍천로,Y,35.17629,129.04679
부전마켓타운,부산광역시 부산진구 중앙대로783번길 23,"도시철도 1호선 부전역 1번 출구 도보 3분, 버스 1, 110-1, 129-1, 141, 31, 33, 62, 77, 87, 1010 부전역 하차 도보 3분, 주차 부전시장 공영주차장(유료)",부산 부산진구 부전동 573-1,부전로,Y,35.16373,129.06122
송상현광장,부산광역시 부산진구 중앙대로 818,"도시철도 1호선 부전역 8번 출구 도보 2분, 버스 5-1, 10, 20, 29, 31, 33, 43, 52, 57, 62, 77, 80, 86, 87, 99, 110-1, 111, 129-1, 141, 1002 송상현광장 하차, 주차 송상현광장 주차장",부산 부산진구 전포동 144,중앙대로,Y,35.16628,129.06612
전포카페거리,부산광역시 부산진구 전포대로209번길 26,"도시철도 2호선 전포역 7번 출구 도보 6분, 버스 5-1, 10, 20, 29, 43, 52, 57, 80, 99, 111, 133, 169-1 부전도서관 하차 도보 2분, 주차 인근 공영주차장",부산 부산진구 전포동 865,동천로,N,35.15765,129.06233
부산커피박물관,부산광역시 부산진구 전포대로 199번길 9,"도시철도 2호선 전포역 7번 출구 도보 1분, 버스 138-1, 24 경남공고 하차 도보 3분",부산 부산진구 전포동 870-1,전포대로,N,35.15449,129.06521
호천마을,부산광역시 부산진구 엄광로 491,버스 서면 롯데백화점 부산본점 맞은편 버스정류장 87 탑승 → 호천마을 입구 하차,부산 부산진구 범천동 1639-60,범상로,N,35.14427,129.04806
부산시민공원,부산광역시 부산진구 시민공원로 73,"도시철도 1호선 부전역 1번 출구 도보 17분, 버스 33, 44, 63, 179 부산시민공원 하차 도보 6분, 주차 부산시민공원 주차장(유료)",부산 부산진구 연지동 202-2,동평로,Y,35.17047,129.0542
서면시장,부산광역시 부산진구 서면로 56,"도시철도 1?2호선 서면역 7번 출구 도보 3분, 버스 108, 138, 167, 168, 17, 23, 67, 68 서면시장 하차 10, 111, 583, 66, 83, 83-1, 88 서면 하차, 주차 서면시장 앞 노상공영주차장(유료)",부산 부산진구 부전동 575,서면로,N,35.15599,129.05776
서면,부산광역시 부산진구 서면 일대,"도시철도 1호선, 2호선 2번 출구, 버스 108, 138, 160, 167, 168, 169-1, 67, 68, 17, 23, 66 서면 하차, 주차 인근 공영주차장",부산 부산진구 부전동 165-2,중앙대로,N,35.15651,129.05911
어린이대공원,부산광역시 부산진구 새싹로 295,"버스 54, 63, 81, 133 어린이대공원 하차, 주차 어린이대공원 주차장(유료)",부산 부산진구 초읍동 43-5,성지로,Y,35.18282,129.04711
선암사,부산광역시 부산진구 백양산로 138,"도시철도 1호선 서면역 9번 출구 → 롯데호텔백화점 맞은편 정류장 버스 17, 23 환승 → 선암사 입구 하차 도보 14분, 주차 선암사 주차장",부산 부산진구 부암동 723,백양산로,Y,35.17558,129.03052
한국신발관,부산광역시 부산진구 백양대로 227,"도시철도 2호선 개금역 2번 출구 → 개금초등학교 정류장 → 버스 169, 167, 160, 138-1 환승 → 한국신발관 하차, 주차 한국신발관 주차장",부산 부산진구 개금동 354-3,백양대로,Y,35.15569,129.02248
NC백화점 서면점,부산광역시 부산진구 동천로 92,"도시철도 1, 2호선 서면역 4, 6, 8번 출구 도보 5분, 버스 138-1, 160, 24, 85, 남구10, 부산진구12 NC서면점 하차, 주차 NC백화점 서면점 주차장",부산 부산진구 전포동 865,동천로,N,35.15765,129.06233
백양산,부산광역시 부산진구 당감동,"도시철도 1호선 서면역 9번 출구 → 롯데호텔백화점 맞은편 정류장 버스 17, 23 환승 → 선암사 입구 하차 도보 14분, 도시철도 1호선 서면역 13번 출구 → 영광도서 뒤 맞은편 정류장 버스 54, 63, 81, 133 어린이대공원 하차",부산 부산진구 부암동 715,백양산로,Y,35.17486,129.03193
국립부산국악원,부산광역시 부산진구 국악로2,"버스 33, 44, 63, 83-1, 103 국립부산국악원 하차, 주차 부립부산국악원 주차장(무료)",부산 부산진구 연지동 73-1,성지로,Y,35.17233,129.05494
서면메디컬스트리트,부산광역시 부산진구 가야대로 787(부산 의료관광 종합안내센터),"도시철도 1,2호선 서면역 9번 출구 일대, 버스 1, 110-1, 124, 129-1, 133, 138-1, 141, 31, 33, 77, 85, 87, 108, 138, 167, 168, 17, 23, 67, 68, 1004 롯데호텔백화점 하차, 주차: 인근 공영주차장(주차비 별도)",부산 부산진구 부전동 576-1,가야대로,N,35.15758,129.05391
롯데면세점 부산점,부산광역시 부산진구 가야대로 772 롯데백화점 부산점 8층,"도시철도 1호선, 2호선 서면역 하차, 지하 연결통로 롯데백화점 입구방향 도보 3분, 버스 8, 138, 167, 168, 17, 23, 67, 68, 1000, 1004 롯데호텔백화점 하차 보도 3분, 주차 롯데백화점 주차장",부산 부산진구 부전동 576-1,가야대로,Y,35.15751,129.05467
롯데백화점 부산본점,부산광역시 부산진구 가야대로 772,"도시철도 1호선, 2호선 서면역 하차, 지하 연결통로 롯데백화점 입구방향 도보 3분, 버스 8, 138, 167, 168, 17, 23, 67, 68, 1000, 1004 롯데호텔백화점 하차 보도 3분, 주차 롯데백화점 주차장",부산 부산진구 부전동 504-5,가야대로,Y,35.15751,129.05467
